epoch,overall,old,new
1,0.4579,0.3529,0.5813
2,0.4354,0.2723,0.627
3,0.4448,0.2928,0.6232
4,0.4554,0.2893,0.6506
5,0.4915,0.3546,0.6523
6,0.5594,0.4751,0.6585
7,0.5104,0.3659,0.6801
8,0.5642,0.4631,0.683
9,0.4944,0.2974,0.7257
10,0.5867,0.4645,0.7303
