epoch,train_loss,val_loss,train_acc,val_acc
0,0.14194484504442367,0.08376999170286581,0.9395,0.964
1,0.016670134921451026,0.12075380251371826,0.994,0.966
2,0.0020018332168618034,0.10498751170158016,0.9995,0.972
3,0.00031028794583879256,0.11670134996161607,1.0,0.967
4,3.53337392479061e-05,0.11552760756671177,1.0,0.971
5,2.1040236836666186e-05,0.11717886821265355,1.0,0.971
6,1.8136760783388832e-05,0.12187925288605861,1.0,0.97
7,1.0895699496021254e-05,0.12825480609017603,1.0,0.97
8,1.2597170610188669e-05,0.12628470192917707,1.0,0.969
9,7.24497562596334e-06,0.13662511060238813,1.0,0.969
