id,x,y,width,height,filename
163,896,843,23,47,region_000163.jpg
164,1037,848,66,12,region_000164.jpg
165,1116,848,55,14,region_000165.jpg
166,1342,854,67,108,region_000166.jpg
167,368,854,1679,500,region_000167.jpg
168,1973,858,74,64,region_000168.jpg
169,170,863,82,88,region_000169.jpg
170,514,866,68,65,region_000170.jpg
171,483,867,25,55,region_000171.jpg
172,1420,871,95,105,region_000172.jpg
173,253,878,120,49,region_000173.jpg
174,819,878,51,31,region_000174.jpg
175,392,880,53,110,region_000175.jpg
176,1673,887,127,52,region_000176.jpg
177,0,890,476,464,region_000177.jpg
178,1172,891,42,25,region_000178.jpg
179,871,892,35,18,region_000179.jpg
180,1615,893,182,160,region_000180.jpg
181,1113,895,35,24,region_000181.jpg
182,1089,896,40,51,region_000182.jpg
183,1073,898,300,214,region_000183.jpg
184,1184,906,53,14,region_000184.jpg
185,349,908,69,28,region_000185.jpg
186,1409,912,31,86,region_000186.jpg
187,1160,916,71,64,region_000187.jpg
188,1116,917,43,18,region_000188.jpg
189,1492,920,214,60,region_000189.jpg
190,601,925,45,37,region_000190.jpg
191,73,926,30,40,region_000191.jpg
192,573,926,42,98,region_000192.jpg
193,1812,930,117,81,region_000193.jpg
194,803,935,86,67,region_000194.jpg
195,1285,937,118,278,region_000195.jpg
196,1788,940,24,63,region_000196.jpg
197,672,942,41,53,region_000197.jpg
198,477,946,18,76,region_000198.jpg
199,979,947,79,98,region_000199.jpg
200,826,951,63,39,region_000200.jpg
201,708,954,87,58,region_000201.jpg
202,1675,958,51,88,region_000202.jpg
203,940,959,58,50,region_000203.jpg
204,605,960,74,58,region_000204.jpg
205,1355,960,77,190,region_000205.jpg
206,836,967,79,65,region_000206.jpg
207,59,974,32,37,region_000207.jpg
208,1201,974,16,36,region_000208.jpg
209,719,976,64,21,region_000209.jpg
210,716,995,64,35,region_000210.jpg
211,1772,997,47,52,region_000211.jpg
212,25,1000,38,111,region_000212.jpg
213,369,1003,52,151,region_000213.jpg
214,668,1003,22,21,region_000214.jpg
215,456,1004,23,135,region_000215.jpg
216,829,1004,56,52,region_000216.jpg
217,1918,1004,70,94,region_000217.jpg
218,687,1006,33,123,region_000218.jpg
219,1378,1012,41,43,region_000219.jpg
220,338,1013,46,43,region_000220.jpg
221,771,1023,70,53,region_000221.jpg
222,793,1023,38,29,region_000222.jpg
223,704,1025,65,34,region_000223.jpg
224,1016,1029,34,34,region_000224.jpg
225,1078,1033,18,52,region_000225.jpg
